,angel,convertible_note,debt_financing,equity_crowdfunding,grant,non_equity_assistance,post_ipo_debt,post_ipo_equity,private_equity,product_crowdfunding,secondary_market,seed,undisclosed,venture
227,,,,,,,,,,,,,,6369507
228,,,,,,,,,,,,,,116000000
229,,,,,,,,,,,,,,5050000
230,,,,,,,,,,,,,,2580000
231,,,,,,,,,325000000,,,,,
232,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,
235,,,,,,,,100000000,,,,,,
236,,,,,,,,,,,,,,296000000
237,,,1926250,,,,,,,,,,,
238,,,50000,,,,,,,,,,,
239,,,,,,,,,,,,,,10000000
240,,,,,,,,,,,,,,100000
241,,,530000,,,,,,,,,,,
242,,,,,,,,,,,,,,2428500
243,,,,,,,,,,,,250000,,
244,,,,,,,,,,,,,,
245,,,,,,,,,,,,,1610541,
246,,,,,,,,,,,,,,615000
247,,,,,,,,,,,,,,22000000
248,,,,,,,,,,,,,,57949900
249,,,,,,,,,,,,,,9000000
250,,,,,,,,100000,,,,,,
251,,,,,1400000,,,,,,,,,
252,,,,,,,,,,,,,,12600000
253,,,,,,,,,,,,,,115000000
254,,,,,,,,,,,,,,9000000
255,,,,,,,,,,,,50000,,
256,,,,,,,,,,,,,,3452941
257,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,
261,,,,,,,,,,,,,185451,
262,,,,,,,,,,,,,,1024250
263,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,4000000
266,,,,,,,,,,,,600000,,
267,,,,,,,,,,,,,,500000
268,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,
270,,,,,,,,,,,,400000,,
271,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,2000000
273,,,,,,,,,,,,,,16000000
274,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,
276,,,,,,,,,,,,50000,,
277,,,,,,,,,,,,347354,,
278,,,,,,,,,,,,2588852,,
279,,,,,,,,,,,,6563,,
280,,,,,,,,,,,,,,1692088
281,164473,,,,,,,,,,,,,
282,100000,,,,,,,,,,,,,
283,,,,,,,,,,,,200000,,
284,,,,,,,,,,,,25000,,
285,,,,,,,,,,,,,,2000000
286,,,,,,,,,,,,,,
287,,,,,,,,,,,,118000,,
288,250000,,,,,,,,,,,,,
289,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,5844811
291,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,2000000
295,,,,,,,,,,,,,,1000000
296,,,,,,,,,,,,,,7000000
297,,,,,,,,,,,,,,1300000
298,,,,,,,,,,,,,,5000000
299,,,,,,,,,,,,,,2000000
300,,,,,,,,,,,,,,6785876
301,,,12000000,,,,,,,,,,,
302,,,,,,,,,,,,,,60000000
303,,,,,,,,,,,,,,
304,,,,,230000,,,,,,,,,
305,,,,,153000,,,,,,,,,
306,,,,,,,,,,,,,,1000000
307,,,,,,,,,,,,,,1500000
308,,,441000,,,,,,,,,,,
309,,,165000000,,,,,,,,,,,
310,157000,,,,,,,,,,,,,
311,,,,,64226,,,,,,,,,
312,,,,,,,,,200708,,,,,
313,52183,,,,,,,,,,,,,
314,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,
316,275000,,,,,,,,,,,,,
317,,,,,,,,,,,,33457,,
318,,,,,,,,,,,,106626,,
319,,,,,,,,,,,,,,860102
320,,,,,,,,,,,,,,4000000
321,,,,,,,,,,,,,100000,
322,,,,,250000,,,,,,,,,
323,,,50000,,,,,,,,,,,
324,,,,0,,,,,,,,,,
325,,,,,,,,,,,,,,
326,,,,,,,,,85000000,,,,,
327,,,,,,,,,,,,,,10000000
328,,,,,,,,,,,,,,490000
329,,,,,,,,,,,,,,23000000
330,,,,,,,,,,,,,,4154420
331,,,,,,,,,,,,20000,,
332,,,,6000,,,,,,,,,,
333,,,,,,,,,,,,,,3167062
334,,,,,,,,,,,,2300000,,
335,,,,,,,,,,,,,,939000
336,,,,,,,,,,,,,,
337,,,,,,,,,,,,100000,,
338,200000,,,,,,,,,,,,,
339,,,,,,,,,,,,,,5100000
340,,,,,,,,,,,,,,26000000
341,,,,,,,,,,,,,,10000000
342,,,,,,,,,,,,2275000,,
343,,,,,,,,,,,,,,32500000
344,,,,,,,,,,,,,,20000000
345,,,,,,,,,,,,,,80000
346,,,,,,,,,,,,,,
347,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,20000000
349,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,27500000
351,,,,,,,,,,,,,,53500000
352,,,,,,,,,,,,,,61000000
353,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,20000000
358,,,,,,,,,,,,,,14278567
359,,,,,,,,,,,,,,20000000
360,,,,,,,,,,,,,,8089000
361,,,,,,,,,,,,,,30000000
362,,,,,,,,,,,,,,28500000
363,,,,,,,,,,,,,,7610000
364,,,,,,,,,,,,25000,,
365,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,
367,,,,500000,,,,,,,,,,
368,,,,,,,,,,,,,,2274716
369,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,
371,,,,,,,,,,,,750000,,
372,,,,,,,,,,,,,,1520000
373,,,,,,,,,,,,,,13100000
374,,,,,,,,,,,,,,1284560
375,,,,,,,,,,,,,,9000000
376,20000,,,,,,,,,,,,,
377,,,,,,,,,,,,,,
378,,,,,,,,,,,,,,3000000
379,,,,,,,,,,,,,,12000000
380,,,,,,,,,,,,,,17800000
381,,,,,,,,,,,,,,5000000
382,,,,,,,,,,,,,,500000
383,,,,,,,,,,,,,,500000
384,,,,,,,,,,,,,,7650000
385,,,,,,,,,,,,1543920,,
386,,,,,,,,,,,,,,10000000
387,,,,,,,,,,,,,,8000000
388,,,,,,,,,,,,,,5000000
389,,,,,,,,,,,,,,1623640
390,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,16000000
392,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,
397,,,,,252692,,,,,,,,,
398,,,,,125557,,,,,,,,,
399,,,,,,,,,,,,54096,,
400,,,,,,,,,,,,,,176884
401,,,,,,,,,,,,,,5500000
402,,,,,,,,,,,,,,1200000
403,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,1573976
405,,,,,,,,,,,,,,
406,,,,,,,,,,,,,,
407,,,,,,,,,,,,500000,,
408,,,,,,,,,,,,25000,,
409,1629549,,,,,,,,,,,,,
410,,,,,,,,,,,,,,
411,,,,,,,,,,,,,,800000
412,,,1600000,,,,,,,,,,,
413,,,,,,,,,,,,,,3750000
414,,,,,,,,,,,,,,
415,,,,,,,,,,,,375000,,
416,1344583,,,,,,,,,,,,,
417,,,6000000,,,,,,,,,,,
418,,,,,,,,,,,,75000,,
419,,,,,133620,,,,,,,,,
420,35000,,,,,,,,,,,,,
421,,,,,,,,,,,,250000,,
422,250000,,,,,,,,,,,,,
423,,1540000,,,,,,,,,,,,
424,,,,,,,,,,,,,,2222190
425,,,,,,,,,,,,,,4200000
426,,,,,,,,,,,,,,1349000
427,,,,,,,,,,,,,,
428,,,,,,,,,,,,,,6620000
429,,,,,,,,,,,,,,669000
430,,,750000,,,,,,,,,,,
431,,,,,,,,,,,,1465000,,
432,,,,,,,,,,,,,,
433,,,,,,,,,,,,16674,,
434,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,250000
436,,,250000,,,,,,,,,,,
437,,,,,,,,,,,,,,170000
438,,,,,,,,,,,,,,210000
439,,,,,,,,,,,,,,
440,,,,,,,,,,,,,,124000
441,,,,,,,,,,,,,,379000
442,,,350000,,,,,,,,,,,
443,,,,,,,,,,,,,,4500000
444,,,,,,,,,,,,,,
445,,,,,,,,,,,,350000,,
446,850000,,,,,,,,,,,,,
447,,,,,,,,,,,,12500,,
448,,,,,,,,,,,,7500,,
449,,,,,,,,,,,,35000,,
450,,205000,,,,,,,,,,,,
451,,,,,,,,,,,,,,5000000
452,,,,,,,,,,,,,,14000000
453,,,,,,,,,,,,,,30000000
454,,,,,,,,,,,,,,50000000
455,,,,,,,,,,,,,,
456,,,,,,,,,,,,,,1168005
457,,,,,,,,,,,,,,505000
458,,,,,,,,,,,,,,110000
459,,,,,,,,,,,,,,294940
460,,,,,,,150000000,,,,,,,
461,,,,,,,,,,,,,,17500000
462,,,,,,,,,,,,,,2000000
463,,,,,,,,,,,,,,150000
464,,,,,,,,,,,,,,16399999
465,,,,,,,,,,,,,,400000
466,,,,,,,,,,,,,,
467,1250000,,,,,,,,,,,,,
468,701760,,,,,,,,,,,,,
469,,,1155000,,,,,,,,,,,
470,,,,,,,,,,,,,,
471,,,,,50000,,,,,,,,,
472,,,,,,,,,,,,,,675000
473,250000,,,,,,,,,,,,,
474,,,,,,,,,,,,900000,,
475,,,,,,,,,,,,50000,,
476,,,,,,,,,,,,,,
477,,,,,,,,,,,,202250,,
478,,,,,,,,,,,,202250,,
479,,,,,800000,,,,,,,,,
480,,,,,,,,,,,,1870000,,
481,,,530000,,,,,,,,,,,
482,,,,,,,,,,,,30000,,
483,732064,,,,,,,,,,,,,
484,,,,,,,,,,3000,,,,
485,,,,,,,,,,,,,204952,
486,,,,,,,,,,,,1800000,,
487,,,,,,,,,,,,,,200000
488,,,,,,,,,,,,,,2247128
489,220000,,,,,,,,,,,,,
490,,,236500,,,,,,,,,,,
491,,,,,,,,,,,,,,7200000
492,,,,,,,,,,,,,,
493,,,,,,,,,,,,,,1240000
494,,,,,,,,,,,,,,825000
495,,,,140000,,,,,,,,,,
496,,,,,,,,,,,,,,475000
497,,,,,,,,,,,,,,637500
