,angel,convertible_note,debt_financing,equity_crowdfunding,grant,non_equity_assistance,post_ipo_debt,post_ipo_equity,private_equity,product_crowdfunding,secondary_market,seed,undisclosed,venture
62076,,,,,,,,,,,,22500,,
62077,,,,,,,,,,,,,,
62078,,,,,,,,,,,,,,299000
62079,,,,,,,,,,,,,,551000
62080,,,,,,,,,,,,,,
62081,,,,,,,,,,,,,,8500000
62082,,,,,,,,,,,,,,
62083,,,,,,,,,,,,,,13000000
62084,,,,,,,,,,,,,,
62085,,,,,,,,,,,,,,
62086,,,,,,,,,,,,,,2400000
62087,,,,,,,,,,,,,,4000000
62088,,,,,,,,,,,,,,1900000
62089,,,,,,,,,,,,,,17000000
62090,,,,,,,,,,,,300000,,
62091,,,,,,,,,,,,44000,,
62092,,,,,25000,,,,,,,,,
62093,260000,,,,,,,,,,,,,
62094,,175000,,,,,,,,,,,,
62095,,,,,,,,,,,,,,400000
62096,400000,,,,,,,,,,,,,
62097,200000,,,,,,,,,,,,,
62098,,,,,,,,,,,,,,
62099,,,,,,,,,,,,,,
62100,,,,,,,,,,,,,,1400000
62101,,,,,,,,,,,,49877,,
62102,,,,,31783,,,,,,,,,
62103,,,,,82642,,,,,,,,,
62104,,,,,,,,,,,,,,4245714
62105,,,,,,,,,,,,,,100000
62106,,,,,,,,,,,,250000,,
62107,,,,,,,,,,,,,,4000000
62108,,,,,,,,,,,,,,5000000
62109,,,,,,,,,,,,728709,,
62110,,,,,,,,,,,,525000,,
62111,,,,,,,,,,,,,,35000
62112,,,,,,,,,,,,,,200000
62113,,,,,,,,,,,,,,20000000
62114,,,,,,,,,,,,,,11000000
62115,,,,,,,,,,,,,,18000000
62116,,,,,,,,,,,,,,14000000
62117,,,,,,,,,,,,,,1097622
62118,,,,,,,,,,,,1200000,,
62119,,,,,,,,,,,,,,6500000
62120,,,,2000,,,,,,,,,,
62121,,,,,,,,,,,,1000000,,
62122,,,,,,,,,,,,,,12500000
62123,,,,,,,,,,,,1800000,,
62124,,,,,,,,,,,,,,1600000
62125,,,,,,,,,,,,780000,,
62126,,,,,,,,,,,,,,600000
62127,,,,,,,,,,,,665000,,
62128,,,,800000,,,,,,,,,,
62129,,,,,,,,,,,,500000,,
62130,1000000,,,,,,,,,,,,,
62131,,,,,,,,,,,,,,4000000
62132,,,,,,,,,,,,,,
62133,,,,,,,,,,,,25000,,
62134,,,,,,,,,,,,,,3000000
62135,,,,,,,,,,,,600000,,
62136,,,,,,,,,,,,,,
62137,,,,,,,,,,,,,,4660480
62138,,2000000,,,,,,,,,,,,
62139,,,,,,,,,,,,,,
62140,,,75000,,,,,,,,,,,
62141,,,,,,,,,,,,,,105000
62142,,,,,,,,,,,,40000,,
62143,,,,,,,,,,,,,,9300000
62144,,,,,,,,,,,,,,11100000
62145,,,,,,,,,,,,,,2300000
62146,,,,,,,,,,,,,,
62147,,,,,,,,,,,,,,4600000
62148,,,,,,,,,,,,,,1605632
62149,,,,,,,,,,,,,,2000000
62150,,,,,,,,,,,,,,
62151,,,15000000,,,,,,,,,,,
62152,,,,,,,,31000000,,,,,,
62153,,,,,,,,,,,,,,25000000
62154,,,,,,,,,,,,,,20000000
62155,,,,,,,,,,,,,,840000
62156,,,,,,,,,,,,,,
62157,,,,,,,,,,,,,,
62158,,,,,,,,,,,,608898,,
62159,,,,,,,,,,,,,,2427184
62160,,,,,,,,,,,,,,6417180
62161,,,,,,,,,,,,,,6454314
62162,,,50000,,,,,,,,,,,
62163,,,,,,,,,,,,,,1626000
62164,,,250000,,,,,,,,,,,
62165,,,163000,,,,,,,,,,,
62166,,,,,,,,,,,,2000000,,
62167,,,,,,,,,,,,,,
62168,,,,,,,,,,,,,,
62169,,,,,,,,,,,,,,
62170,,,617006,,,,,,,,,,,
62171,,,,,,,,,,,,,,3360000
62172,,,,,52583,,,,,,,,,
62173,,,,,,,,,,,,,,
62174,,,,,,,,,,,,,,3240000
62175,1000000,,,,,,,,,,,,,
62176,,,,,,,,,,,,,,95000
62177,,,,,,,,,,,,,,70000
62178,,,,,,,,,,,,,,7000000
62179,300000,,,,,,,,,,,,,
62180,,,,,,,,,,,,,,1400000
62181,,,,,,,,,,,,440000,,
62182,,,,,,,,,,,,500000,,
62183,,,,,,,,,,,,,,15000000
62184,,,,,,,,,,,,500000,,
62185,,,,,,,,,,,,,,
62186,,,,,,,,,,37150,,,,
62187,,,,,,,,,,,,1100000,,
62188,,,,,,,,,,,,604811,,
62189,,,,,,,,,,,,,,50000
62190,,,,,,,,,,,,1800000,,
62191,,,,,,,,,,,,14000,,
62192,,,,,,,,,,,,280228,,
62193,,,,,,,,,,,,264429,,
62194,,,,,,,,,,,,,,2143885
62195,,,,,,,,,,,,80752,,
62196,,,,,,,,,,,,2573200,,
62197,,,,,,,,,,,,,,6000000
62198,,,,,,,,,,,,257320,,
62199,,,,,,,,,,,,,,1100000
62200,,,,,,,,,,,,,,
62201,,,,,,,,,,,,,,14118523
62202,,,,,,,,,,,,,,9000000
62203,,,,,,,,,,,,,,1350000
62204,,,,,,,,,,,,,,
62205,,,,,,,,,,,,,,2000000
62206,,,6000000,,,,,,,,,,,
62207,,,,,,,,,,,,,,2500000
62208,,,,,,,,,,,,,,
62209,,,,,,,,,,,,,,550000
62210,,,,,,,,,,,,,,1039926
62211,,,,,,,,,,,,,,1000324
62212,,,,,,,,,,,,,,
62213,,,,,,,,,,,,3300000,,
62214,,,,,,,,,,,,2033657,,
62215,,,,,,,,,,,,,,3812271
62216,,,,,,,,,,,,50000,,
62217,,,350000,,,,,,,,,,,
62218,,,,,,,,,,,,1100000,,
62219,,,,,,,,,,,,,,1024999
62220,,,,,,,,,,,,1000000,,
62221,,,,,,,,,,,,630000,,
62222,,,,,,,,,,,,,,110000
62223,,,,,,,,,,,,,,
62224,,,,,,,,,,,,40000,,
62225,,,,,,,,,,,,750000,,
62226,,,,,,,,,,,,65000,,
62227,,,,,,,,,,,,,,16600000
62228,,,,,,,,,,,,,,14932000
62229,,,,,,,,,,,,,,
62230,,,,,,,,,,,,,,
62231,,,,,,,,,,,,1500000,,
62232,,,,,,,,,,,,2200000,,
62233,,,,,,,,,,,,1000000,,
62234,,,,,,,,,,,,150000,,
62235,,,,,,,,,,,,18000,,
62236,,,,,,,,,,,,,,
62237,,,,3600,,,,,,,,,,
62238,,,,,,,,,,,,,,1922700
62239,,,,,,,,,,,,,,22101546
62240,,,,,,,,,,,,,,1825109
62241,,,,,,,,,,,,,,50700000
62242,,,,,,,,,,,,,,7000000
62243,,,,,,,,,,,,,,1500000
62244,,,,,,,,,,,,,,14000000
62245,750000,,,,,,,,,,,,,
62246,,,,,,,,,,,,325000,,
62247,,,,,,,,,,,,,,4700000
62248,,,,,,,,,,,,,,12000000
62249,,,,,,,,,,,,51295,,
62250,,293692,,,,,,,,,,,,
62251,,,,,217449,,,,,,,,,
62252,,,,,269480,,,,,,,,,
62253,,,,,,,,,,,,,,6000000
62254,,,,,,,,,,,,19299,,
62255,,,,,,,,,,,,,,
62256,,,,,,,,,,,,,,41000000
62257,,,,,,,,,,,,,,2100000
62258,,,,,,,,,,,,,,5500000
62259,,,,,,,,,,,,,,38000000
62260,,,,,,,,,,,,2500000,,
62261,,,,,,,,,,,,,,
62262,,,,,,,,,,,,,,10000000
62263,,,,,,,,,,,,,,19000000
62264,,,,,,,,,,,,,,18500000
62265,,,8000000,,,,,,,,,,,
62266,,,1650000,,,,,,,,,,,
62267,,,,,,,,,,,,,,26000000
62268,,,,,,,,,,,,,,1000000
62269,,,,,,,,,,,,,,4000000
62270,,,,,,,,,,,,,,10000000
62271,,,,,,,,,,,,,,9000000
62272,50000,,,,,,,,,,,,,
62273,,,,,,,,,,,,1159174,,
62274,,,,,,,,,,,,,,
62275,,,,,,,,,,,,1286600,,
62276,,,,,,,,,,,,,,1617273
62277,,,,,,,,,,,,1286600,,
62278,,,,,,,,,,,,1600000,,
62279,,,70000,,,,,,,,,,,
62280,,,,,,,,,,,,,,8000000
62281,,,,,,,,,,,,,,2047870
62282,,,,,,,,,,,,,,1000000
62283,,,,,,,,,,,,1000000,,
62284,,,,,,,,,,,,,,770000
62285,,,,,,,,,,,,25000,,
62286,,,,,,,,,,238000,,,,
62287,300000,,,,,,,,,,,,,
62288,,,,,,,,,,,,,,4000000
62289,,,,,,,,,,,,,,1318044
62290,,,,,,,,,,,,,,10000000
62291,,,,,,,,,,,,,,10600000
62292,,,,,,,,,,,,,,3550767
62293,,,,,,,,,,,,,,30000000
62294,,,,,,,,,,,,1645000,,
62295,,,,,,,,,,,,,,
62296,,,,,,,,,,,,10000,,
62297,,,,,,,,,,,,10000,,
62298,,,,,,,,,,,,,,
62299,,,,,,,,,,,,,,
62300,,,,,,,,,,,,,,
62301,,,,,,,,,,,,,,
62302,,,,,,,,,,,,400000,,
62303,,,,,,,,,,,,200000,,
62304,,,,,50000,,,,,,,,,
62305,,,,,,,,,,,,500000,,
62306,,,,,,,,,,,,,,2200000
62307,,,,,,,,,,,,,,6000000
62308,,,,,,,,,,,,,,20000000
62309,,,,,,,,,,,,,,4000000
62310,,,,,,,,,,,,,,
62311,,,,,,,,,,,,,,30000000
62312,,,,,,,,,,,,,,19000000
62313,,,,,,,,,,,,,,1000000
62314,,,,,,,,,,,,,,14500000
62315,,,,,,,,,,,,,,5000000
62316,,,1000000,,,,,,,,,,,
62317,,,,,,,,,,,,,,2057984
62318,,,750000,,,,,,,,,,,
62319,,,,,,,,,,,,,,
62320,,,,,,,,,,,,19713,,
62321,,,,,,,,,,,,,,
62322,,,,,,,,,,,,15857,,
62323,,,,,,,,,,,,4041,,
62324,,,,,,,,,,,,61947,,
62325,1500000,,,,,,,,,,,,,
62326,,,,,,,,,,,,,,200000
62327,,,,,,,,,,,,425000,,
62328,,,,,,,,,,,,390000,,
62329,,,,,,,,,,,,,,
62330,,,,,,,,,,,,,,10000000
62331,,,,,,,,,,,,,,
62332,,,,,,,,,,,,,,
62333,,,,,,,,,,,,,,1400000
62334,,,,,,,,,,,,7500,,
62335,,,,,,,,,,,,,,4000000
62336,,,,,,,,,,,,,,
62337,,,,,,,,,,,,,,
62338,,,,,,,,,,,,,,
62339,,,,,,,,,,,,,,
62340,,,,,,,,,,,,,,9000000
62341,,,,,,,,,,,,,,7000000
62342,,,300000,,,,,,,,,,,
62343,,,1000000,,,,,,,,,,,
62344,,,200000,,,,,,,,,,,
62345,,,2920000,,,,,,,,,,,
62346,,,1500000,,,,,,,,,,,
62347,,,,,,,,,,,,,,10500000
62348,,,200000,,,,,,,,,,,
62349,,,,,3500000,,,,,,,,,
62350,,,,,,,,,,,,,,5335546
62351,,,,,,,,,,,,,,9329228
62352,,,,,,,,,,,,,,10000000
62353,,,,,,,,,,,,,,20408
62354,,,,,,,,,,,,,,888716
62355,,,,,,,,,,,,,1666776,
62356,,,,,,,,,,,,,1287963,
62357,,,,,,,,,,,,,,566549
62358,,,,,,,,,,,,,,30300000
62359,,,,,,,,,,,,,,22000000
62360,,,,,,,,,,,,,,15000000
62361,,,,,,,,,,,,,,
62362,,,,,,,,,,,,,,1500000
62363,,,,,,,,,,,,0,,
62364,,,,,,,,,,,,2700000,,
62365,,,,,,,,,,,,,,7000000
62366,,,,,,,,,,,,,,1523520
62367,,,,,,,,,,,,,,
62368,,,,,,,,,,,,140400,,
62369,,,,,,,,,,,,,,108000
62370,,,,,,,,,,,,,,7500000
62371,,,,,,,,,,,,,,12000000
62372,,,,,,,,,,,,,,4000000
62373,,,,,,,,,,,,,,8500000
62374,,6000000,,,,,,,,,,,,
62375,,,,,,,,,,,,,,8000000
62376,,,,,,,,,,,,,,41000000
62377,,,,,,,,,,,,,,20000000
62378,,,,,,,,,,,,,,7000000
62379,,,,,,,,,,,,,,
62380,,,,,,,,,,,,,,20000000
62381,,,,,,,,,,,,,,3000000
62382,,,,,,,,,,,,93937,,
62383,,,,,,,,,,,,,,36000000
62384,,,1750000,,,,,,,,,,,
62385,,,5000000,,,,,,,,,,,
62386,,,1000000,,,,,,,,,,,
62387,,,,,,,,,,,,,,20300000
62388,,,,,,,,,,,,,,26008213
62389,,,,,,,,,,,,651339,,
62390,,,,,,,,,,,,,,3603603
62391,,,,,,,,,,,,,,
62392,,,,,,,,,,,,,,56018
62393,,,,,64739,,,,,,,,,
62394,,,,,,,,,,,,,,100000000
62395,,,,,,,,,,,,,,10000000
62396,,,,,,,,,,,,,,10000000
62397,,,,,,,,,,,,,,100000000
62398,,,,,,,,,,,,,,10300000
62399,,,,,,,,,,,,,,1000000
62400,,,,,,,,,,,,,,
62401,,,,0,,,,,,,,,,
62402,,,,,,,,,,,,,,645000
62403,,,,,,,,,,,,,,350000
62404,,,,,,,,,,,,,,
62405,,,,,,,,,,,,,,7000000
62406,,,,,,,,,,,,,,18048106
62407,,,,,,,,,,,,,,12000000
62408,,,,,,,,,,,,,,13000000
62409,,,,,,,,,,,,,,2500000
62410,,,,,,,,,,,,,,1310000
62411,,,,,,,,,,,,,,2000000
62412,,,,,,,,,,,,,,446840
62413,,,,,5000000,,,,,,,,,
62414,,,,,,,,,,,,,,1500000
62415,,,,,,,,,,,,,,34500000
62416,,,,,,,,,,,,,,41800000
62417,,,,,,,,,,,,40000,,
62418,,500000,,,,,,,,,,,,
62419,,,,,,,,,,,,2300000,,
62420,,,,,,,,,,,,,,
62421,,,,,,,,,,,,,,23284490
62422,,,,,,,,,,,,,,5312856
62423,,,,,,,,,,,,,,
62424,,,,,,,,,,,,,,8000000
62425,,,,,,,,,,,,,,
62426,,,,,,,,,,,,,,779034
62427,,,,,,,,,,,,,,
62428,,,,,,,,,,,,,4912636,
62429,,,,,,,,,,,,,,814396
62430,,,,,,,,,,,,,,5457478
62431,,,,,,,,,,,,,,
62432,,,,,,,,,,,,4000000,,
62433,,,,,,,,,,,,,,8800000
62434,,,,,,,,,,,,,300000,
62435,,,,,,,,,,,,,,1200000
62436,,,,,,,,,,,,,,250000
62437,,,150000,,,,,,,,,,,
62438,,,,,,,,,,,,886053,,
62439,,,,,,,,,,,,53937,,
62440,,,,,64739,,,,,,,,,
62441,,61367,,,,,,,,,,,,
62442,,,,,,,,,,,,25000,,
62443,,,,,,,,,,,,40000,,
62444,,,,,,,,,,,,62500,,
62445,1277600,,,,,,,,,,,,,
62446,,,,,,,,,,,,,,1289100
62447,,,,,,,,,,,,,,
62448,,,,,,,,,,,,,,6000000
62449,,,,,,,,,,628300,,,,
62450,,,,,,,,,,,,5000,,
62451,,,,,,,,,,,,,,
62452,,,,,,,,,,,,,,
62453,,,,,,,,,,,,,,
62454,,,,,,,,,,,,750000,,
62455,,,,,,,,,,,,,,40000000
62456,,,,,,,,,,,,,,15200000
62457,,,,,,,,,,,,,,7600000
62458,,,,,,,,,,846675,,,,
62459,,,,,,,,,,,,,,
62460,,,,,,,,,,,,18000,,
62461,,,,,,,,,,,,28500,,
62462,,,,,,,,,,,,,,15000000
62463,,,,,,,,,,,,0,,
62464,,,,,,,,,,,,,,721043
62465,,,,,,,,,,,,697137,,
62466,,,,,,,,,,,,,487237,
62467,,,,,,,,,,,,,,2800000
62468,,,,,,,,,,,,,,3862250
62469,,,,,,,,,,,,,,1600666
62470,,,,,,,,,,,,,,1019736
62471,,,,,,,,,,,,,,1500000
62472,,,,,,,,,,,,,,
62473,,,,,,,,,,,,,,4000000
62474,,,,,,,,,,,,,,2400000
62475,,,,,,,,,,,,600000,,
62476,,,,,,,,,,,,653000,,
62477,,,,,,,,,,,,,,306498
62478,,,,,,,,,,,,40000,,
62479,,,,0,,,,,,,,,,
62480,,,,,,,,,,,,60000,,
62481,,,,,,,,,,,,,,1000000
62482,,,,,,,,,,,,0,,
62483,,,,,,,,,,,,,,10000000
62484,,,,,,,,,,,,,,31000000
62485,,,,,,,,,,,,20265,,
62486,,,,,,,,,,,,40000,,
62487,,,,,,,,,,,,,,
62488,,240000,,,,,,,,,,,,
62489,,,5000000,,,,,,,,,,,
62490,,,4025000,,,,,,,,,,,
62491,,,22800000,,,,,,,,,,,
62492,,,,,,,,,,,,,,
62493,,,,,,,,,,,,,,1095747
62494,,,160000,,,,,,,,,,,
62495,,,,,,,,,,,,,,1500000
62496,,,,,,,,,,,,,,5069797
62497,,,,,,,,,,,,,,9000000
62498,,,,,,,,,,,,,,
62499,,,,,,,,,,,,,,34999988
62500,,,,,,,,,,,,,,1500000
62501,,,,,,,,,,,,,,
62502,,,525000,,,,,,,,,,,
62503,,,,,,,,,,,,,,10000000
62504,,,,,2895017,,,,,,,,,
62505,,,,,,,,,,,,,,30305028
62506,,,,,,,,,,,,33724,,
62507,,,,,,,,,,,,,,1200000
62508,,,,,,,,,,,,,,
62509,,,,,,,,,,,,300000,,
62510,,,,,,,,,,,,,,4330000
62511,,,,,,,,,,,,,,1600000
62512,,,,,,,,,,,,,,
62513,,,,,,,,,,,,,,
62514,,,,,,,,,,,,,,3500000
62515,,,,,,,,,,,,,,
62516,,,,,,,,,,,,,,
62517,,,,,,,,,,,,33023,,
62518,,,,,,,,,,,,,,8894008
62519,,,,,,,,,,,,,,
62520,,,,,,,,,,,,,,
62521,,,,,,,,,,,,,,40000000
62522,,,,,,,,,,,,,,20750834
62523,,,,,,,,,,,,,,
62524,,,,,,,,,,,,2000000,,
62525,,,,,20000000,,,,,,,,,
62526,60000,,,,,,,,,,,,,
62527,,,,,,,,,,,,2000,,
62528,,,,,,,,,,,,,,6500000
62529,,,,,,,,,,,,,,
62530,,,,,,,,,,,,,,10000000
62531,,,,,,,,,,,,,,25000000
62532,,,,,,,,,,,,,,750000
62533,,,,,,,,,,,,,,15000000
62534,,,,,,,,,,,,,,2908499
62535,,,,,,,,,,,,,,1250000
62536,,,,,,,,,,,,,,
62537,,,,,,,,,,,,,,
62538,,,,,,,,,,,,300000,,
62539,,,640000,,,,,,,,,,,
62540,,,,,,,,,,,,245560,,
62541,246080,,,,,,,,,,,,,
62542,,,,,,,,,,,,,,1485000
62543,,,,,,,,,,,,,,5222321
62544,,,,,,,,,,,,,,100000
62545,,766666,,,,,,,,,,,,
62546,,,2077050,,,,,,,,,,,
62547,,,,,,,,,,,,,,
62548,,,,,,,,,,,,,,170000
62549,,,,,,,,,,,,,,2046560
62550,,,,,,,,,,,,,,
62551,,,,,,,,,,,,,,4911591
62552,,,,,,,,,,,,,,2200000
62553,,,,,,,,,,,,,,4250000
62554,,,7000000,,,,,,,,,,,
62555,,,,,,,,,,,,,,8000000
62556,,,,,,,,,,,,,,24000000
62557,,,,,,,,,,,,,,35000000
62558,,,,,,,,,,,,,,499999
62559,,,,,,,,,,,,,,2200000
62560,1000000,,,,,,,,,,,,,
62561,,,,,,,,,,,,,,8600000
62562,,,,,,,,,,,,,,3000000
62563,,,,,,,,,,,,,,6000000
62564,,,,,,,,,,,,1200000,,
62565,,,1200000,,,,,,,,,,,
62566,,,,,,,,,,,,,9000000,
62567,,,,,,,,,,,,,,
62568,,,,,,,,,,,,,,3000000
62569,,,,,,,,,,,,,,5000000
62570,,,,,,,,,,,,,,10000000
62571,,,,,,,,,,,,25000,,
62572,,,,,,,,,,,,,,16000000
62573,,,,,,,,,,,,,,
62574,,,,,,,,,,,,,,7470000
62575,,,,,,,,,,,,,,3950000
62576,,,,,,,,,,,,,,6200000
62577,,,,,,,,,,,,,,
62578,,,,,,,,,,,,,,4000000
62579,,,,,,,,,,,,,,3676235
62580,,,1000000,,,,,,,,,,,
62581,,,,,,,,,,,,,,3167724
62582,400000,,,,,,,,,,,,,
62583,,,,,,,,,,,,,,1000000
62584,,,,,,,,,,,,,,10000000
62585,,,,,,,,,,,,1000000,,
62586,,,,,,,,,,,,,,
62587,,,,,,,,,,,,,,
62588,,,600000,,,,,,,,,,,
62589,,,,,,,,,,,,,,1953998
62590,,,,,,,,,,,,,,5000000
62591,,,,,,,,,,,,,,
62592,,,,,,,,,,,,,,
62593,,,,,,,,,,,,,,
62594,,,,,,,,,,,,,,6000000
62595,,,,,,,,,,,,,,4100000
62596,,,,,,,,,,,,,,2600000
62597,,,,,,,,,,,,,,4250000
62598,,,,,,,,,,,,100000,,
62599,,,,,,,,,,,,,,
62600,,,,,,,,,,,,25000,,
62601,,,,,,,,,,,,,,6200000
62602,,2181818,,,,,,,,,,,,
62603,,,,,,,,,,,,305073,,
62604,,,,,,,,,,,,1451612,,
62605,,,,,,,,,,,,,,1800000
62606,,,,0,,,,,,,,,,
62607,,,,,,,,,,,,1500000,,
62608,500000,,,,,,,,,,,,,
62609,,,,,,,,,,,,850000,,
62610,,,,,,,,,,,,,,10250000
62611,,,,,,,,,,,,,,65000000
62612,,,,,,,,,,,,1250000,,
62613,500000,,,,,,,,,,,,,
62614,,,,,,,,,,,,15000,,
62615,,,,,,,,,,,,,,4000000
62616,,,,,,,,,,,,,,6500000
62617,,,,,,,,,,,,1500000,,
62618,,,,,,,,,,,,,,
62619,,,,,,,,,,,,,,
62620,,,,,,,,,,,,13289,,
62621,,,,,,,,,,,,,,
62622,,,,,,,,,,,,,,
62623,,,,,,,,,,,,,,1300000
62624,,,,,,,,,,,,,,1500000
62625,23779,,,,,,,,,,,,,
62626,,,,,30860,,,,,,,,,
62627,,,,,,,,,,,,,,
62628,,,,,,,,,,,,,,
62629,,,,,,,,,,,,,,2000000
62630,,,,,,,,,,,,,,1500000
62631,,,,,,,,,,,,,,60000000
62632,,,,,,,,,,,,,,20000000
62633,,,,,,,,,,,,,,3855600
62634,,,,,,,,,,,,,,7870000
62635,,,,,,,,,,,,,,1603420
62636,,,,,,,,,,,,250000,,
62637,,,,,,,,,,,,,100000,
62638,,,,,,,,,,,,,,1200000
62639,,,,,,,,,,,,,,
62640,,,,,,,,,,,,10000,,
62641,,,,0,,,,,,,,,,
62642,,,,,,,,,,,,,,112100
62643,,,,,,,,,,,,,,
62644,,,,,,,,,,,,,,
62645,,,,,,,,,,,,,,1000000
62646,,,,,,,,,,,,,,
62647,,,,,,,,,,,,,,5000000
62648,,,,,,,,,,,,,,
62649,,,,,,,,,,,,,,
62650,,,,,,,,,,,,,,228090
62651,,,,,,,,,,,,,589863,
62652,,,,,,,,,,,,,,5000000
62653,,,,,,,,,,,,,,
62654,,,,,,,,,,,,,,43750
62655,,,,,,,,,,,,,,2797920
62656,,,,,,,,,,,,,,2269232
62657,,,,,,,,,,,,,,3074400
62658,,,,,,,,,,,,,,869964
62659,,,330000,,,,,,,,,,,
62660,,,,,,,,,,,,,,300003
62661,,,,,,,,,,,,,,
62662,,,,,,,,,,,,,,
62663,,,,,,,,,,,,,,64945600
62664,10000000,,,,,,,,,,,,,
62665,,,,,,,,,,,,,,3000000
62666,,,,,,,,,,,,,,2977800
62667,,,,,,,,,,,,,,
62668,,,,,,,,,,,,,,
62669,,,,,,,,,,,,,,5250000
62670,,,,,,,,,,,,1899177,,
62671,,,,,,,,,,,,,,
62672,,,,,,,,,,,,,,
62673,,,,,,,,,,,,,,
62674,,,,,,,,,,,,,,
62675,,,,,,,,,,,,,,
62676,,,,,,,,,,,,,,
62677,,,401200,,,,,,,,,,,
62678,,,,,,,,,,,,,,2802374
62679,,,,,,,,,,,,,,350000
62680,,,,,,,,,,,,,5900000,
62681,,,,,,,,,,,,,,33859
62682,,,,,,,,,,,,900000,,
62683,,,,,,,,,,,,,,
62684,,,,,,,,,,,,625000,,
62685,,,,,,,,,,,,,,1000000
62686,,,,,,,,,,,,,,8000000
62687,,,,,,,,,,,,,,5400000
62688,,,,,,,,,,,,,,6000000
62689,,,,,,,,,,,,1500000,,
62690,,,,,,,,,,,,,,
62691,,,,,,,,,,,,,,1000000
62692,,,,,,,,,,,,,,6000000
62693,,,,,,,,,,,,,,
62694,,,,,,,,,,,,,,3579375
62695,,,3579375,,,,,,,,,,,
62696,,,,,,,,,,,,,,
62697,,,,,,,,,,,,,,
62698,,,,,,,,,,,,,,
62699,,,,,,,,,,,,,,4387996
62700,,,,,,,,,,,,50000,,
62701,,,1749986,,,,,,,,,,,
62702,,,612000,,,,,,,,,,,
62703,,,130000,,,,,,,,,,,
62704,,,,,,,,,,,,,,240000
62705,,,,,,,,,,,,,,225420
62706,,,,,,,,,,,,,,100000
62707,,,,,,,,,,,,,,239809
62708,,,,,,,,,,,,,,317200
62709,,,171325,,,,,,,,,,,
62710,,,,,,,,,,,,,,13000000
62711,,,,,,,,,,,,1500000,,
62712,,,,,,,,,,,,3000000,,
62713,,,,,,,,,,,,,,
62714,,,,,,,,,,,,1100000,,
62715,,,,,,,,,,,,1000000,,
62716,,,,,,,,,,,,500000,,
62717,,,,,,,,,,,,,,
62718,,,,,,,,,,,,59376,,
62719,,,,,,,,,,,,285000,,
62720,,,,,,,,,,,,127126,,
62721,,,406794,,,,,,,,,,,
62722,,,,,,,,,,,,,3875857,
62723,,,,,,,,,,,,,,5700000
62724,,,,,21703,,,,,,,,,
62725,,,,,,,,,,,,52000,,
62726,,,,,,,,,,,,,,
62727,,,,,,,,,,,,210000,,
62728,,,,,,,,,,,,400000,,
62729,,,,,,,,,,,,610000,,
62730,,,,,,,,,,,,100000,,
62731,,,,,,,,,,,,,200000,
62732,,,,,,,,,,,,,,
62733,,,,,,,,,,,,4900000,,
62734,,,,,,,,,,,,,,11000000
62735,,,4000000,,,,,,,,,,,
62736,,,450000,,,,,,,,,,,
62737,,,,,,,,,,,,,,4797534
62738,,,,,,,,,,,,,,1300000
62739,,,,,,,,,,,,,,400000
62740,,,,,,,,,,,,,,1918584
62741,,,,,,,,,,,,,,140000
62742,,,,,,,,,,,,,,1500000
62743,,,,,,,,,,,,,,4900000
62744,,,,,,,,,,,,,,494939
62745,,,,,,,,,,,,,,6200000
62746,,,,,,,,,,,,,,175000
62747,,,2215228,,,,,,,,,,,
62748,,,,,,,,,,,,1100000,,
62749,,,,,,,,,,,,,,5000000
62750,,,,,,,,,,,,500000,,
62751,,,,,,,,,5000000,,,,,
62752,,,,,,,,,,,,,,6500000
62753,,,,,,,,,,,,1666776,,
62754,,,,,,,,,,,,,,13120000
62755,,,,,,,,,,,,,,4024213
62756,,,100000,,,,,,,,,,,
62757,,,,,,,,,,,,1800000,,
62758,,,,,,,,,,,,,,1420922
62759,,,,,,,,,,,,69830,,
62760,,,,,,,,,,,,,,2000000
62761,,,,,,,,,,,,,,12000000
62762,,,,,,,,,,,,,,573000
62763,,,,,,,,,,,,,,585000
62764,,,,,,,,,,,,,,
62765,,,,,,,,,,,,,,
62766,,,,,,,,,,,,130608,,
62767,,,,,,,,,,,,,,150000
62768,,,,,,,,,,,,,,150000
62769,,,,,,,,,,,,,,35000000
62770,,,,,,,,,,,,,,10000000
62771,163309,,,,,,,,,,,,,
62772,,,,,,,,,,,,,,3196320
62773,,,,,,,,,,,,50000,,
62774,,,,,,,,,,,,50000,,
62775,,,,,,,,,,,,500000,,
62776,,,,,,,,,,,,,,55811
62777,,,,,,,,,,,,500000,,
62778,,,,,,,,,,,,,,4000000
62779,,,,,,,,,,,,,,
62780,65761,,,,,,,,,,,,,
62781,200000,,,,,,,,,,,,,
62782,,,,,,,,,,,,50000,,
62783,165000,,,,,,,,,,,,,
62784,,,,,,,,,,,,45000,,
62785,,,,,,,,,,,,,,
62786,,,,,,,,,,,,,,500000
62787,,,,,,,,,,,,,,124233
62788,,,,,,,,,,,,,,3196023
62789,,,,,,,,,,,,,,5980000
62790,,,,,,,,,,,,,,194073
62791,,,,,,,,,,,,,,21936
62792,,,,,,,,,,,,,,406000
62793,,,,,,,,,,,,,,9350000
62794,,,,,,,,,,,,,,3549916
62795,,,,,,,,,,,,,,19200
62796,,,,,,,,,,,,19465,,
62797,,,,,,,,,,,,17105,,
62798,169291,,,,,,,,,,,,,
62799,,,,,,,,,,,,,,3100000
62800,,,,,,,,,,,,,,600000
62801,,,,,,,,,,,,40000,,
62802,,,,,,,,,,,,,,
